"article_title","author","journal","citations","year"
"Using luminosity data as a proxy for economic statistics","X Chen, WD Nordhaus","Proceedings of the National Academy of Sciences 108 (21), 8589-8594, 2011","548","2011"
"Managing the Global Common","W Nordhaus","The Econmics of Climate Change, 1994","539","1994"
"Productivity growth and the new economy","WD Nordhaus","National Bureau of Economic Research, 2001","527","2001"
"Economic aspects of global warming in a post-Copenhagen environment","WD Nordhaus","Proceedings of the National Academy of Sciences 107 (26), 11721-11726, 2010","515","2010"
"The health of nations: the contribution of improved health to living standards","WD Nordhaus","National Bureau of Economic Research, 2002","505","2002"
"The climate casino: Risk, uncertainty, and economics for a warming world","WD Nordhaus","Yale University Press, 2013","489","2013"
"To tax or not to tax: Alternative approaches to slowing global warming","WD Nordhaus","Review of Environmental Economics and policy 1 (1), 26-44, 2007","478","2007"
"The cost of slowing climate change: a survey","WD Nordhaus","The Energy Journal, 37-65, 1991","473","1991"
"Ilmu Makroekonomi","PA Samuelson, WD Nordhaus","Edisi Tujuh Belas, Diterjemahkan oleh Gretta, Theresa Tanoto, Bosco Carvallo …, 2004","463","2004"
"Do real-output and real-wage measures capture reality? The history of lighting suggests not","WD Nordhaus","The economics of new goods, 27-70, 1996","463","1996"
"Climate clubs: Overcoming free-riding in international climate policy","W Nordhaus","American Economic Review 105 (4), 1339-70, 2015","451","2015"
"After Kyoto: alternative mechanisms to control global warming","WD Nordhaus","American Economic Review 96 (2), 31-34, 2006","431","2006"
"Alternative approaches to the political business cycle","WD Nordhaus, A Alesina, CL Schultze","Brookings papers on economic activity 1989 (2), 1-68, 1989","431","1989"
"Abrupt climate change: inevitable surprises","National Research Council","National Academy Press, 2002","429","2002"
"Aggregate demand and long-run unemployment","L Ball, NG Mankiw, WD Nordhaus","Brookings papers on economic activity 1999 (2), 189-251, 1999","424","1999"
"Stabilization policy ten years after","J Tobin, ES Phelps, W Poole, M Feldstein, H Houthakker, F Modigliani, ...","Brookings Papers on Economic Activity 1980 (1), 19-89, 1980","419","1980"
"Environmental accounting for pollution in the United States economy","NZ Muller, R Mendelsohn, W Nordhaus","American Economic Review 101 (5), 1649-75, 2011","408","2011"
"World dynamics: measurement without data","WD Nordhaus","The Economic Journal 83 (332), 1156-1183, 1973","404","1973"
"Lethal model 2: the limits to growth revisited","WD Nordhaus, RN Stavins, ML Weitzman","Brookings papers on economic activity 1992 (2), 1-59, 1992","394","1992"
"Expert opinion on climatic change","WD Nordhaus","American Scientist 82 (1), 45-51, 1994","378","1994"
"Forecasting efficiency: concepts and applications","WD Nordhaus","The Review of Economics and Statistics, 667-674, 1987","372","1987"
"Optimal greenhouse-gas reductions and tax policy in the"" DICE"" model","WD Nordhaus","The American Economic Review 83 (2), 313-317, 1993","365","1993"
"The challenge of global warming: economic models and environmental policy","WD Nordhaus","Yale University, 2007","351","2007"
"Nature's numbers: expanding the national economic accounts to include the environment","WD Nordhaus, EC Kokkelenberg","National Academies Press, 2017","349","2017"
"Critical assumptions in the Stern review on climate change","W Nordhaus","Science 317 (5835), 201-202, 2007","338","2007"
"An economic theory of technological change","WD Nordhaus","The American Economic Review 59 (2), 18-28, 1969","326","1969"
"Efficient use of energy resources","WD Nordhaus","Yale University Press, New Haven, CT, 1979","315","1979"
"Employment fluctuations and wage rigidity","RE Hall, MN Baily, LH Summers, J Duesenberry, F Modigliani, ...","Brookings Papers on economic activity 1980 (1), 91-141, 1980","289","1980"
"Estimates of the social cost of carbon: concepts and results from the DICE-2013R model and alternative approaches","W Nordhaus","Journal of the Association of Environmental and Resource Economists 1 (1/2 …, 2014","287","2014"
"Industrial pricing in the United Kingdom","K Coutts, W Godley, W Nordhaus","CUP Archive, 1978","286","1978"
"Requiem for Kyoto: an economic analysis of the Kyoto Protocol","WD Nordhaus, JG Boyer","The Energy Journal, 93-130, 1999","284","1999"
"Policy games: coordination and independence in monetary and fiscal policies","WD Nordhaus, CL Schultze, S Fischer","Brookings Papers on Economic Activity 1994 (2), 139-216, 1994","275","1994"
"Global warming economics","WD Nordhaus","Science 294 (5545), 1283-1284, 2001","262","2001"
"A Sketch of the Economics of the Greenhouse Effect","WD Nordhaus","The American Economic Review 81 (2), 146-150, 1991","260","1991"
"Revisiting the social cost of carbon","WD Nordhaus","Proceedings of the National Academy of Sciences 114 (7), 1518-1523, 2017","254","2017"
"Reforming federal regulation","RE Litan, WD Nordhaus","Yale University Press, 1983","254","1983"
"Resources as a Constraint on Growth","WD Nordhaus","The American Economic Review 64 (2), 22-26, 1974","253","1974"
"Economic growth and climate: the carbon dioxide problem","WD Nordhaus","The American Economic Review 67 (1), 341-346, 1977","252","1977"
"Reflections on the economics of climate change","WD Nordhaus","Journal of economic Perspectives 7 (4), 11-25, 1993","247","1993"
"The falling share of profits","WD Nordhaus, N Kaldor, A Greenspan, W Brainard","Brookings Papers on Economic Activity 1974 (1), 169-217, 1974","243","1974"
"Makro ekonomi","PA Samuelson, WD Nordhaus","Jakarta: Erlangga, 1996","240","1996"
"Principles of economics","P Samuelson, W Nordhaus","McGraw-Hill.[rRH], 1985","239","1985"
"Exploding productivity growth: context, causes, and implications","RJ Gordon","Brookings Papers on Economic Activity 2003 (2), 207-298, 2003","233","2003"
"Determining benefits and costs for future generations","K Arrow, M Cropper, C Gollier, B Groom, G Heal, R Newell, W Nordhaus, ...","Science 341 (6144), 349-350, 2013","230","2013"
"Baumol's diseases: a macroeconomic perspective","WD Nordhaus","The BE Journal of Macroeconomics 8 (1), 2008","230","2008"
"A question of balance: economic modeling of global warming","WD Nordhaus","Yale University Press, 2008","228","2008"
"Two centuries of productivity growth in computing","WD Nordhaus","The Journal of Economic History 67 (1), 128-159, 2007","228","2007"
"DICE 2013R: Introduction and user’s manual","W Nordhaus, P Sztorc","retrieved November, 2013","213","2013"
"Perspectives on high world real interest rates","OJ Blanchard, LH Summers, AS Blinder, WD Nordhaus","Brookings papers on economic activity 1984 (2), 273-334, 1984","213","1984"
"Közgazdaságtan","PA Samuelson","Akad. K., 2017","211","2017"
"The optimum life of a patent: Reply","WD Nordhaus","The American economic review 62 (3), 428-431, 1972","211","1972"
"Pricing in the trade cycle","WAH Godley, WD Nordhaus","Economic Journal 82 (327), 853-882, 1972","211","1972"
"Estimates of the social cost of carbon: background and results from the RICE-2011 model","WD Nordhaus","National Bureau of Economic Research, 2011","210","2011"
"How fast should we graze the global commons?","W Nordhaus","The American Economic Review 72 (2), 242-246, 1982","208","1982"
"The'dice'model: Background and structure of a dynamic integrated climate-economy model of the economics of global warming","WD Nordhaus","Cowles Foundation discussion papers, 1992","202","1992"
"Economic growth","WD Nordhaus, J Tobin","National Bureau of Economic Res, 1972","201","1972"
"Recent developments in price dynamics","WD Nordhaus","Cowles Foundation Discussion Papers, 1970","200","1970"
"Volkswirtschaftslehre","PA Samuelson, WD Nordhaus, MJ Mandel","Ueberreuter, 1998","195","1998"
"The economics of hurricanes and implications of global warming","WD Nordhaus","Climate Change Economics 1 (01), 1-20, 2010","185","2010"
"Roll the DICE again: the economics of global warming","WD Nordhaus, J Boyer","Draft Version 28, 1999, 1999","178","1999"
"Ekonomie: 18. vydání","PA Samuelson, WD Nordhaus","NS Svoboda, 2007","177","2007"
"Are empowerment and education enough? Underdiversification in 401 (k) plans","JJ Choi, DI Laibson, BC Madrian","Brookings papers on economic activity 2005 (2), 151-213, 2005","177","2005"
"Climate impacts on aggregate farm value: accounting for adaptation","R Mendelsohn, W Nordhaus, D Shaw","Agricultural and Forest Meteorology 80 (1), 55-66, 1996","177","1996"
"Warming the world","WD Nordhaus, J Boyer","Cambridge: MIT Press, 2000","175","2000"
"Economics. 19th International Edition","PA Samuelson, WD Nordhaus","New York: McGraw-Hill Education, 2009","168","2009"
"Schumpeterian profits in the American economy: Theory and measurement","WD Nordhaus","National Bureau of Economic Research, 2004","168","2004"
"RICE: a regional dynamic general equilibrium model of optimal climate-change policy","WD Nordhaus, Z Yang","American Economic Review 86 (4), 741-765, 1996","167","1996"
"Volkswirtschaftslehre","PA Samuelson","Bund Verlag, 1981","167","1981"
"The impact of aggregate demand on prices","RJ Gordon, WD Nordhaus, CL Schultze","Brookings Papers on Economic Activity 1975 (3), 613-670, 1975","163","1975"
"The economic consequences of a war in Iraq","WD Nordhaus","National Bureau of Economic Research, 2002","162","2002"
"Microeconomia","RS PYNDICK, DL Rubinfeld","São Paulo, 1994","161","1994"
"Quality change in price indexes","WD Nordhaus","Journal of Economic Perspectives 12 (1), 59-68, 1998","159","1998"
"Future carbon dioxide emiddions from fossil fuels","WD Nordhaus","Changing climate, 1983","158","1983"
"Volkswirtschaftslehre: das internationale Standardwerk der Makro-und Mikroökonomie","PA Samuelson, WD Nordhaus","MI Wirtschaftsbuch, 2007","157","2007"
"The recent productivity slowdown","WD Nordhaus, B Bosworth, R Solow, BN Vaccara","Brookings Papers on Economic Activity 1972 (3), 493-545, 1972","157","1972"
"Should governments use a declining discount rate in project analysis?","KJ Arrow, ML Cropper, C Gollier, B Groom, GM Heal, RG Newell, ...","Review of Environmental Economics and Policy 8 (2), 145-163, 2014","154","2014"
"The perils of the learning model for modeling endogenous technological change","WD Nordhaus","The Energy Journal 35 (1), 2014","153","2014"
"Some skeptical thoughts on the theory of induced innovation","WD Nordhaus","The Quarterly Journal of Economics, 208-219, 1973","152","1973"
"Technological change and the environment","A Grübler","Routledge, 2010","144","2010"
"The economics of tail events with an application to climate change","WD Nordhaus","Review of Environmental Economics and Policy 5 (2), 240-257, 2011","143","2011"
"Economic approaches to greenhouse warming","WD Nordhaus","Global warming: Economic policy responses 33, 1991","143","1991"
"Discounting in economics and climate change; an editorial comment","WD Nordhaus","Climatic Change 37 (2), 315-328, 1997","139","1997"
"Oil and economic performance in industrial countries","WD Nordhaus, HS Houthakker, JD Sachs","Brookings Papers on Economic Activity 1980 (2), 341-399, 1980","139","1980"
"How should benefits and costs be discounted in an intergenerational context? The views of an expert panel","KJ Arrow, M Cropper, C Gollier, B Groom, GM Heal, RG Newell, ...","The views of an expert panel (December 19, 2013). Resources for the future …, 2013","137","2013"
"The economics of hurricanes in the United States","WD Nordhaus","National Bureau of Economic Research, 2006","129","2006"
"Economia, 16ª edição","PA Samuelson, WD Nordhaus","Lisboa, McGraw, 1999","129","1999"
"Managing the Global Commons: The economics of the greenhouse effect","WD Nordhaus","MIT Press, Cambridge, MA, 1994","125","1994"
"The worldwide wage explosion","WD Nordhaus","Brookings Papers on Economic Activity 1972 (2), 431-465, 1972","124","1972"
"Introduction to"" The Measurement of Economic and Social Performance""","M Moss","The Measurement of Economic and Social Performance, 1-21, 1973","115","1973"
"The optimal life of a patent","WD Nordhaus","Cowles Foundation discussion papers, 1967","115","1967"
"Economía..","S Nordhaus","","114","2006"
"Alternative methods for measuring productivity growth","WD Nordhaus","National Bureau of Economic Research, 2001","112","2001"
"The welfare cost of higher unemployment","RJ Gordon, W Nordhaus, W Poole","Brookings Papers on Economic Activity 1973 (1), 133-205, 1973","109","1973"
"The progress of computing","WD Nordhaus","Cowles foundation discussion paper, 2001","107","2001"
"Designing a friendly space for technological change to slow global warming","W Nordhaus","Energy Economics 33 (4), 665-673, 2011","104","2011"
"The demand for energy: an international perspective","WD Nordhaus","Cowles Foundation Discussion Papers, 1975","104","1975"
"The impact of global warming on agriculture: Reply","R Mendelsohn, W Nordhaus","The American Economic Review 86 (5), 1312-1315, 1996","103","1996"
"The productivity growth slowdown by industry","MN Baily, WD Nordhaus","Brookings Papers on Economic Activity 1982 (2), 423-459, 1982","103","1982"
"Life after Kyoto: Alternative approaches to global warming policies","WD Nordhaus","National Bureau of Economic Research, 2005","102","2005"
"Integrated economic and climate modeling","W Nordhaus","Handbook of computable general equilibrium modeling 1, 1069-1131, 2013","100","2013"
"2.1 FUTURE PATHS OF ENERGY AND CARBON DIOXIDE EMISSIONS","WD Nordhaus, GW Yohe","Changing Climate: Report of the Carbon Dioxide Assessment Committee, 87, 1983","100","1983"
"The G-Econ database on gridded output: methods and data","W Nordhaus, Q Azam, D Corderi, K Hood, NM Victor, M Mohammed, ...","Yale University, New Haven 6, 2006","95","2006"
"Warming the world: the economics of the greenhouse effect","WD Nordhaus, JG Boyer","Cambridge, MA: MIT Press, 2000","95","2000"
"The impact of climate variation on US agriculture","R Mendelsohn, W Nordhaus, D Shaw","The Impact of Climate Change on the United States Economy, 55-74, 1999","95","1999"
"Who's afraid of a big bad oil shock?","WD Nordhaus","Brookings Papers on Economic Activity 2007 (2), 219-238, 2007","94","2007"
"The sources of the productivity rebound and the manufacturing employment puzzle","W Nordhaus","National Bureau of Economic Research, 2005","93","2005"
"Greenhouse economics: count before you leap","WD Nordhaus","The Economist 316 (7662), 19-22, 1990","93","1990"
"Economic policy in the face of declining productivity growth","WD Nordhaus","European Economic Review 18 (1), 131-157, 1982","92","1982"
"Pengantar analisis kebijakan publik","DN William","Gadjah Mada University Press, Yogyakarta, 2003","91","2003"
"Are we approaching an economic singularity? Information technology and the future of economic growth","WD Nordhaus","National Bureau of Economic Research, 2015","89","2015"
"Determinants of wage inflation around the world","GL Perry, G Ackley, W Nordhaus","Brookings Papers on Economic Activity 1975 (2), 403-447, 1975","88","1975"
"Projections and uncertainties about climate change in an era of minimal climate policies","W Nordhaus","American Economic Journal: Economic Policy 10 (3), 333-60, 2018","87","2018"
"Principles of national accounting for nonmarket accounts","WD Nordhaus","A new architecture for the US national accounts, 143-160, 2006","87","2006"
"Soviet economic reform: the longest road","WD Nordhaus, EA Hewett","Brookings Papers on Economic Activity 1990 (1), 287-318, 1990","87","1990"
"Public Policies That Affect the Distant Future","WD Nordhaus","Discounting and intergenerational equity, 145, 1999","86","1999"
"Ekonomika [Economics]","P Samuelson, WD Nordhaus","Vols. 1-2). Moscow: Alhon [in Russian], 1992","86","1992"
"Toward a new Iron Age?: quantitative modeling of resource exhaustion","RB Gordon, TC Koopmans, WD Nordhaus, BJ Skinner","Harvard University Press, 1987","86","1987"
"The effects of the international security environment on national military expenditures: A multicountry study","W Nordhaus, JR Oneal, B Russett","International Organization 66 (3), 491-513, 2012","85","2012"
"Stabilization and economic reform in Russia","S Fischer, L Summers, W Nordhaus","Brookings papers on economic activity 1992 (1), 77-126, 1992","85","1992"
"Inflation in theory and practice","GL Perry, W Fellner, RJ Gordon, J Duesenberry, RE Hall, C Sims, ...","Brookings Papers on Economic Activity 1980 (1), 207-260, 1980","84","1980"
"An analysis of the dismal theorem","WD Nordhaus","Cowles foundation discussion paper, 2009","81","2009"
"The impact of global warming on agriculture: A Ricardian analysis: Reply","R Mendelsohn, WD Nordhaus","American Economic Review 89 (4), 1053-1055, 1999","81","1999"
"Volkswirtschaftslehre, Übersetzung der 15","PA Samuelson, WD Nordhaus","Aufl., Wien, Frankfurt, 1998","81","1998"
"A new architecture for the US national accounts","DW Jorgenson","Review of Income and Wealth 55 (1), 1-42, 2009","80","2009"
"Alternative measures of output in global economic-environmental models: Purchasing power parity or market exchange rates?","W Nordhaus","Energy Economics 29 (3), 349-372, 2007","78","2007"
"Pengantar analisis kebijakan publik (terjemahan)","WN Dunn","Gajah Mada Universitas Press, Yogyakarta, 2003","75","2003"
"Paul Samuelson and global public goods","WD Nordhaus","Samuelsonian Economics, 88-98, 2006","74","2006"
"The optimal rate and direction of technical change","WD Nordhaus","Cowles Foundation for Research in Economics at Yale University, 1967","74","1967"
"Warming the world: economic models of climate change","W Nordhaus, J Boyer","MITPress, Cambridge, MA, USA, 2000","73","2000"
"Pricing in the trade cycle","WD Nordhaus, W Godley","The Economic Journal 82 (327), 853-882, 1972","71","1972"
"Irving Fisher and the contribution of improved longevity to living standards","WD Nordhaus","American Journal of Economics and sociology 64 (1), 367-392, 2005","70","2005"
"New directions in national economic accounting","WD Nordhaus","American Economic Review 90 (2), 259-263, 2000","70","2000"
"How should we measure sustainable income?","WD Nordhaus","Cowles Foundation Discussion Papers, 1995","70","1995"
"Economy","PA Samuelson, W Nordhaus","M.: NGO"" Algona"" VNIISI 1, 331, 1992","70","1992"
"Modeling uncertainty in climate change: A multi-model comparison","K Gillingham, WD Nordhaus, D Anthoff, G Blanford, V Bosetti, ...","National Bureau of Economic Research, 2015","69","2015"
"Time-use measurement and research: Report of a workshop","National Research Council","National Academies Press, 2000","67","2000"
"The effects of inflation on the distribution of economic welfare","WD Nordhaus","Journal of Money, Credit and Banking 5 (1), 465-504, 1973","67","1973"
"Strategies for the control of carbon dioxide","WD Nordhaus","Cowles Foundation Discussion Papers, 1977","66","1977"
"Economía con aplicaciones a Latinoamérica .","PA Samuelson, WD Nordhaus","McGraw-Hill Interamericana, 2000","64","2000"
"Climate and economic development: climates past and climate change future","WD Nordhaus","The World Bank Economic Review 7 (suppl_1), 355-376, 1993","64","1993"
"Economía. Decimoséptima edición","P Samuelson, W Nordhaus","Editorial McGraw Hill Interamericana de España, 2002","62","2002"
"Can we control carbon dioxide?","WD Nordhaus","WP-75-063, 1975","62","1975"
"The Swedish nuclear dilemma: energy and the environment","WD Nordhaus","Routledge, 2014","60","2014"
"Economics and policy issues in climate change","WD Nordhaus","RFF Press, 2013","60","2013"
"Measuring the impact of global warming on agriculture","R Mendelsohn, D Shaw, WD Nordhaus","Cowles Foundation for Research in Economics at Yale University, 1993","60","1993"
"Makro-Ekonomi, Edisi Keempatbelas","PA Samuelson, WD Nordhaus","Penerbit Erlangga. Jakarta, 1992","58","1992"
"Ekonomika [Economy]","P Samuelson, VD Nordkhaus","Vyl'iams, Moscow, Russia, 2010","57","2010"
"The architecture of climate economics: Designing a global agreement on global warming","WD Nordhaus","Bulletin of the Atomic Scientists 67 (1), 9-18, 2011","56","2011"
"The 1974 report of the President's Council of Economic Advisers: energy in the economic report","WD Nordhaus","The American Economic Review 64 (4), 558-565, 1974","56","1974"
"Economic issues in a designing a global agreement on global warming","WD Nordhaus","Keynote Address at the Climate Change Conference, Copenhagen, Denmark, March …, 2009","54","2009"
"A review of the Stern Review on the economics of global warming","W Nordhaus","Journal of Economic Literature 45 (3), 686-702, 2007","54","2007"
"Nature's numbers: expanding the national economic accounts to include the environment","National Research Council","National Academies Press, 1999","54","1999"
"A sharper image? Estimates of the precision of nighttime lights as a proxy for economic statistics","W Nordhaus, X Chen","Journal of Economic Geography 15 (1), 217-246, 2014","53","2014"
"Can the share economy conquer stagflation?","W Nordhaus","The Quarterly Journal of Economics 103 (1), 201-217, 1988","52","1988"
"Magnitude and direction of technological transfers for mitigating GHG emissions","Z Yang, WD Nordhaus","Energy Economics 28 (5-6), 730-741, 2006","51","2006"
"Analisis Sistem Tenaga Listrik Edisi Keempat","WD Stevenson, D William","Erlangga, Jakarta, 1993","50","1993"
"The economics of the greenhouse effect","WD Nordhaus","Yale University, Department of Economics, 1989","50","1989"
"The economics of an integrated world oil market","WD Nordhaus","International Energy Workshop, 17-19, 2009","49","2009"
"Reflecting on the concept of sustainable economic growth","WD Nordhaus","Economic growth and the structure of long-term development, 1994","49","1994"
"The energy crisis and macroeconomic policy","WD Nordhaus","The Energy Journal 1 (1), 11-19, 1980","49","1980"
"Why the global warming skeptics are wrong","WD Nordhaus","The New York Review of Books 59 (5), 32-34, 2012","48","2012"
"Ekonomija, 18. izdanje","PA Samuelson, WD Nordhaus","Mate, Zagreb, 2011","48","2011"
"Volkswirtschaftslehre: Grundlagen d. Makro-u. Mikroökonomie","PA Samuelson, WD Nordhaus","Bund-Verlag, 1987","48","1987"
"The value of luminosity data as a proxy for economic statistics","X Chen, WD Nordhaus","National Bureau of Economic Research, 2010","47","2010"
"Retrospective on the 1970s productivity slowdown","W Nordhaus","National Bureau of Economic Research, 2004","47","2004"
"The impact of climate on agriculture: a Ricardian approach","R Mendelsohn, WD Nordhaus","Cowles Foundation Discussion Papers, 1992","46","1992"
"Thinking about carbon dioxide: theoretical and empirical aspects of optimal control strategies","WD Nordhaus","Cowles Foundation Discussion Papers, 1980","46","1980"
"Industrial pricing in the United Kingdom","P Sylos-Labini","Cambridge Journal of Economics 3 (2), 153-163, 1979","44","1979"
"Traditional productivity estimates are asleep at the (technological) switch","WD Nordhaus","The Economic Journal 107 (444), 1548-1559, 1997","43","1997"
"A test of the new VIIRS lights data set: Population and economic output in Africa","X Chen, W Nordhaus","Remote Sensing 7 (4), 4937-4947, 2015","42","2015"
"William","PA Samuelson","Economía, 2000","42","2000"
"Ekonomie. Praha: Nakladatelství Svoboda, 1995","PA SAMUELSON, WD NORDHAUS","ISBN 0-07-054981-9, 1995","42","1995"
"The ecology of markets.","WD Nordhaus","Proceedings of the National Academy of Sciences 89 (3), 843-850, 1992","42","1992"
"Is growth obsolete?","J Tobin, W Nordhaus","Economic Research: Retrospect and Prospect 5, 1-80, 1972","42","1972"
"Ekonomie. Praha: Svoboda, 2007","P SAMUELSON","ISBN 978-80-205, 0","42",""
"New data and output concepts for understanding productivity trends","WD Nordhaus","National Bureau of Economic Research, 2001","41","2001"
"Inflation theory and policy","WD Nordhaus","The American Economic Review 66 (2), 59-64, 1976","41","1976"
"Contract Theory and the Moderation of Inflation by Recession and by Controls","MN Baily, WD Nordhaus, CA Sims","Brookings Papers on Economic Activity 1976 (3), 585-633, 1976","41","1976"
"G. Yohe in Changing Climate, Report of the Carbon Dioxide Assessment Committee","W Nordhaus","National Academy Press, Washington, DC, 1983","40","1983"
"Integrative assessment of mitigation, impacts, and adaptation to climate change","N Nakicenovic, WD Nordhaus, R Richels, FL Toth","CP-94-009, 1994","39","1994"
"Economic policy in the face of severe tail events","WD Nordhaus","Journal of Public Economic Theory 14 (2), 197-219, 2012","38","2012"
"Climate amenities and global warming","W Nordhaus","Climate change: Integrating science, economics, and policy 19, 1996","38","1996"
"The recent recession, the current recovery, and stock prices","WD Nordhaus","Brookings Papers on Economic Activity 2002 (1), 199-228, 2002","37","2002"
"An intertemporal general-equilibrium model of economic growth and climate change","WD Nordhaus","Yale Univ., 1990","36","1990"
"2.2 A REVIEW OF ESTIMATES OF FUTURE CARBON DIOXIDE EMISSIONS","JH Ausubel, WD Nordhaus","Changing Climate: Report of the Carbon Dioxide Assessment Committee, 153, 1983","35","1983"
"Economics: an introduction","PA Samuelson, WD Nordhaus","McGraw-Hill Book Company: New York, 1964","35","1964"
"Carbon taxes to move toward fiscal sustainability","WD Nordhaus","The Economists' Voice 7 (3), 2010","34","2010"
"Assessing the market damages from climate change","R Mendelsohn, W Nordhaus, D Shaw","Global Climate Change: The Science, Economics, and Politics, 92-113, 2003","34","2003"
"Kinh T<U+1EBF> H<U+1ECD>c. T<U+1EAD>p 2","P Samuelson, WD Nordhaus","Th<U+1ED1>ng kê, 2006","33","2006"
"A survey of global impacts of climate change: Replication, survey methods, and a statistical analysis","WD Nordhaus, A Moffat","National Bureau of Economic Research, 2017","32","2017"
"Global public goods and the problem of global warming","WD Nordhaus","Annual Lecture of the 3rd Toulouse Conference of Environment and Resource …, 1999","32","1999"
"New metrics for environmental economics: Gridded economic data","WD Nordhaus","Integrated Assessment 8 (1), 73-84, 2008","31","2008"
"A., Nordhaus, W., D","P Samuelson","Ekonomie, Nakladatelství Svoboda, Praha, 1991","31","1991"
"Macroconfusion: the dilemmas of economic policy","WD Nordhaus","Cowles Foundation Discussion Papers, 1981","31","1981"
"Biens publics globaux et changement climatique","W D Nordhaus","Revue française d'économie 14 (3), 11-32, 1999","30","1999"
"Economics. Mc. GrawHill","PA Samuelson, W Nordhaus","New York, 781-794, 1985","30","1985"
"Consumer demand for energy","D Jorgenson, WD Nordhaus","International studies of the demand for energy, 1977","30","1977"
"Evolution of modeling of the economics of global warming: Changes in the DICE model, 1992–2017","W Nordhaus","Climatic change 148 (4), 623-640, 2018","29","2018"
"Ekonomie. 2. vydání","PA Samuelson, WD Nordhaus","Praha: Svoboda, 1995","28","1995"
"To slow or not to slow, the economics of the greenhouse effects","WD Nordhaus","Economic Journal 101, 407, 1991","28","1991"
"Inflation 1973: The Year of Infamy","W Nordhaus, J Shoven","Challenge 17 (2), 14-22, 1974","28","1974"
"Geography: graphics and economics","WD Nordhaus, X Chen","The BE Journal of Economic Analysis & Policy 9 (2), 2009","27","2009"
"Costs, impacts, and benefits of CO2 mitigation","Y Kaya, N Nakicenovic, WD Nordhaus, FL Toth","CP-93-002, 1993","27","1993"
"Ekonomie. Praha: Svoboda, 1991, 1011 s","PA Samuelson, WD Nordhaus","ISBN 80-205-0192-c, 1991","27","1991"
"Uncertainty in forecasts of long-run economic growth","P Christensen, K Gillingham, W Nordhaus","Proceedings of the National Academy of Sciences 115 (21), 5409-5414, 2018","26","2018"
"Volkswirtschaftslehre: Das internationale Standardwerk der Makro-und Mikroökonomie, 3","PA Samuelson, WD Nordhaus","Aufl., Landsberg am Lech, 2007","26","2007"
"New estimates of the economic impacts of climate change","WD Nordhaus","Yale University, December 28, 1998, 1998","26","1998"
"War with Iraq: costs, consequences, and alternatives","C Kaysen, MB Malin, SE Miller, WD Nordhaus, JD Steinbruner","American Academy of Arts & Sciences, Committee on International Security Studies, 2002","24","2002"
"Locational Competition and the Environment: Should Countries Harmonize Their Environmental Policies?","WD Nordhaus","Cowles Foundation for Research in Economics 1079, 261-287, 1994","24","1994"
"Is growth obslolete","D Nordhaus William","Economic Growth, Economic Research: Retrospect and Prospect, Fiftieth …, 1971","24","1971"
"Schumpeterian profits and the alchemist fallacy","WD Nordhaus","Yale Economic Applications and Policy Discussion Paper, 2005","23","2005"
